Incident Description,Full Address,City,State,Country,category,Crime Date and Time,Disposition,Location,Case number,Body Value,Field Log Category Value,Field Log Disposition Value,Field Log Location Value
"TBUT OR DISP FROM BUILDING $500 OR MORE BUT U/$10,000",120 PATTERSON DRIVE  ,Lexington,Kentucky,United States of America,Theft,4/5/2016 12:00,Open,120 PATTERSON DRIVE,20160776,"TBUT OR DISP FROM BUILDING $500 OR MORE BUT U/$10,000",Theft,Open,120 PATTERSON DRIVE
HARASSING COMMUNICATIONS,329 Columbia Terrace  ,Lexington,Kentucky,United States of America,Harassing Communications,3/6/2016 2:23,Closed,329 Columbia Terrace,20160795,HARASSING COMMUNICATIONS,Harassing Communications,Closed,329 Columbia Terrace
CRIMINAL MISCHIEF 2ND DEGREE,UNIVERSITY DRIVE BETWEEN HOSPITAL DRIVE AND COMPLEX DRIVE  ,Lexington,Kentucky,United States of America,Criminal Mischief,4/11/2016 11:30,Closed,UNIVERSITY DRIVE BETWEEN HOSPITAL DRIVE AND COMPLEX DRIVE,20160798,CRIMINAL MISCHIEF 2ND DEGREE,Criminal Mischief,Closed,UNIVERSITY DRIVE BETWEEN HOSPITAL DRIVE AND COMPLEX DRIVE
ASSAULT,1350 BULL LEA ROAD  ,Lexington,Kentucky,United States of America,Assault,4/11/2016 23:03,Closed CSA,1350 BULL LEA ROAD,CSA20160441,ASSAULT,Assault,Closed CSA,1350 BULL LEA ROAD
ASSAULT,1350 BULL LEA ROAD  ,Lexington,Kentucky,United States of America,Assault,4/11/2016 19:28,Closed CSA,1350 BULL LEA ROAD,CSA20160440,ASSAULT,Assault,Closed CSA,1350 BULL LEA ROAD
TBUT OR DISP ALL OTHERS U/$500; TERRORISTIC THREATENING,1350 BULL LEA ROAD  ,Lexington,Kentucky,United States of America,Theft,4/11/2016 15:20,Closed CSA,1350 BULL LEA ROAD,CSA20160439,TBUT OR DISP ALL OTHERS U/$500; TERRORISTIC THREATENING,Theft,Closed CSA,1350 BULL LEA ROAD
CRIMINAL MISCHIEF 3RD DEGREE,135 EAST MAXWELL STREET  ,Lexington,Kentucky,United States of America,Criminal Mischief,4/11/2016 18:00,Closed,135 EAST MAXWELL STREET,20160796,CRIMINAL MISCHIEF 3RD DEGREE,Criminal Mischief,Closed,135 EAST MAXWELL STREET
TBUT OR DISP FROM BUILDING U/$500,320 SOUTH LIMESTONE STREET  ,Lexington,Kentucky,United States of America,Theft,4/11/2016 19:30,Closed,320 SOUTH LIMESTONE STREET,20160801,TBUT OR DISP FROM BUILDING U/$500,Theft,Closed,320 SOUTH LIMESTONE STREET
TBUT OR DISP FROM SHIPMENT U/$500,310 SOUTH LIMESTONE STREET  ,Lexington,Kentucky,United States of America,Theft,4/8/2016 19:30,Closed,310 SOUTH LIMESTONE STREET,20160802,TBUT OR DISP FROM SHIPMENT U/$500,Theft,Closed,310 SOUTH LIMESTONE STREET
"ASSAULT, 4TH DEGREE (MINOR INJURY)",1000 SOUTH LIMESTONE STREET  ,Lexington,Kentucky,United States of America,Assault,4/12/2016 18:50,Cleared By Arrest,1000 SOUTH LIMESTONE STREET,20160804,"ASSAULT, 4TH DEGREE (MINOR INJURY)",Assault,Cleared By Arrest,1000 SOUTH LIMESTONE STREET
TBUT OR DISP FROM BUILDING U/$500,310 SOUTH LIMESTONE STREET  ,Lexington,Kentucky,United States of America,Theft,4/8/2016 20:00,Closed,310 SOUTH LIMESTONE STREET,20160803,TBUT OR DISP FROM BUILDING U/$500,Theft,Closed,310 SOUTH LIMESTONE STREET
"OPER MTR VEH U/INFLU ALC/DRUGS/ETC.0.08 (AGG CIRCUM), 2ND; FAILURE TO PRODUCE INSURANCE CARD; CARELESS DRIVING",SOUTH LIMESTONE STREET/VIRGINIA AVENUE  ,Lexington,Kentucky,United States of America,DUI,4/13/2016 6:25,Cleared By Arrest,SOUTH LIMESTONE STREET/VIRGINIA AVENUE,20160810,"OPER MTR VEH U/INFLU ALC/DRUGS/ETC.0.08 (AGG CIRCUM), 2ND; FAILURE TO PRODUCE INSURANCE CARD; CARELESS DRIVING",DUI,Cleared By Arrest,SOUTH LIMESTONE STREET/VIRGINIA AVENUE
POSS OF MARIJUANA; ALCOHOL INTOX IN A PUBLIC PLACE (1ST & 2ND OFFENSE),JERSEY STREET/PINE STREET PARKING LOT  ,Lexington,Kentucky,United States of America,Drug Violations,4/10/2016 8:00,Cleared By Arrest,JERSEY STREET/PINE STREET PARKING LOT,2016057935,POSS OF MARIJUANA; ALCOHOL INTOX IN A PUBLIC PLACE (1ST & 2ND OFFENSE),Drug Violations,Cleared By Arrest,JERSEY STREET/PINE STREET PARKING LOT
HARASSMENT,1350 BULL LEA ROAD  ,Lexington,Kentucky,United States of America,Harassment,4/13/2016 3:32,Closed CSA,1350 BULL LEA ROAD,CSA20160442,HARASSMENT,Harassment,Closed CSA,1350 BULL LEA ROAD
ASSAULT ,1350 BULL LEA ROAD  ,Lexington,Kentucky,United States of America,Assault,4/13/2016 3:49,Closed CSA,1350 BULL LEA ROAD,CSA20160443,ASSAULT ,Assault,Closed CSA,1350 BULL LEA ROAD
ASSAULT X2,1350 BULL LEA ROAD  ,Lexington,Kentucky,United States of America,Assault,4/12/2016 23:20,Closed CSA,1350 BULL LEA ROAD,CSA20160444,ASSAULT X2,Assault,Closed CSA,1350 BULL LEA ROAD
ASSAULT,1350 BULL LEA ROAD  ,Lexington,Kentucky,United States of America,Assault,4/12/2016 19:49,Closed CSA,1350 BULL LEA ROAD,CSA20160445,ASSAULT,Assault,Closed CSA,1350 BULL LEA ROAD
"ASSAULT, TERRORISTIC THREATENING",1350 BULL LEA ROAD  ,Lexington,Kentucky,United States of America,Assault,4/12/2016 22:09,Closed CSA,1350 BULL LEA ROAD,CSA20160446,"ASSAULT, TERRORISTIC THREATENING",Assault,Closed CSA,1350 BULL LEA ROAD
SEXUAL ABUSE,1350 BULL LEA ROAD  ,Lexington,Kentucky,United States of America,Sex Offenses,4/12/2016 8:25,Unfounded,1350 BULL LEA ROAD,CSA20160449,SEXUAL ABUSE,Sex Offenses,Unfounded,1350 BULL LEA ROAD
INDECENT EXPOSURE,1350 BULL LEA ROAD  ,Lexington,Kentucky,United States of America,All Other Offenses,4/12/2016 6:45,Closed CSA,1350 BULL LEA ROAD,CSA20160448,INDECENT EXPOSURE,All Other Offenses,Closed CSA,1350 BULL LEA ROAD
RAPE,703 SPORTS CENTER DRIVE  ,Lexington,Kentucky,United States of America,Sex Offenses,10/15/2015 12:00,Closed CSA,703 SPORTS CENTER DRIVE,CSA20151301,RAPE,Sex Offenses,Closed CSA,703 SPORTS CENTER DRIVE
TBUT OR DISP FROM BUILDING U/$500,140 PATTERSON DRIVE  ,Lexington,Kentucky,United States of America,Theft,4/12/2016 12:50,Open,140 PATTERSON DRIVE,20160811,TBUT OR DISP FROM BUILDING U/$500,Theft,Open,140 PATTERSON DRIVE
DRUG PARAPHERNALIA - BUY/POSSESS,310 SOUTH LIMESTONE STREET  ,Lexington,Kentucky,United States of America,Drug Violations,4/14/2016 0:00,Closed,310 SOUTH LIMESTONE STREET,201609214,DRUG PARAPHERNALIA - BUY/POSSESS,Drug Violations,Closed,310 SOUTH LIMESTONE STREET
ALC INTOX IN A PUB PLACE 3RD OR > OFF IN 12 MONTHS,AVENUE OF CHAMPIONS/ROSE STREET  ,Lexington,Kentucky,United States of America,Alcohol Intoxication,4/14/2016 2:45,Cleared By Arrest,AVENUE OF CHAMPIONS/ROSE STREET,20160814,ALC INTOX IN A PUB PLACE 3RD OR > OFF IN 12 MONTHS,Alcohol Intoxication,Cleared By Arrest,AVENUE OF CHAMPIONS/ROSE STREET
TBUT OR DISP BICYCLES U/$500,326 SOUTH MARTIN LUTHER KING BOULEVARD  ,Lexington,Kentucky,United States of America,Theft,4/9/2016 17:00,Open,326 SOUTH MARTIN LUTHER KING BOULEVARD,20160812,TBUT OR DISP BICYCLES U/$500,Theft,Open,326 SOUTH MARTIN LUTHER KING BOULEVARD
HARASSMENT,1350 BULL LEA ROAD  ,Lexington,Kentucky,United States of America,Harassment,4/14/2016 3:13,Closed CSA,1350 BULL LEA ROAD,CSA20160450,HARASSMENT,Harassment,Closed CSA,1350 BULL LEA ROAD
CRIMINAL MISCHIEF,1000 SOUTH LIMESTONE STREET  ,Lexington,Kentucky,United States of America,Criminal Mischief,4/13/2016 18:50,Closed CSA,1000 SOUTH LIMESTONE STREET,CSA20160447,CRIMINAL MISCHIEF,Criminal Mischief,Closed CSA,1000 SOUTH LIMESTONE STREET
"TBUT OR DISP CONTROLLED SUBSTANCE U/$10,000",1000 SOUTH LIMESTONE STREET  ,Lexington,Kentucky,United States of America,Theft,3/1/2016 13:00,Closed,1000 SOUTH LIMESTONE STREET,20160817,"TBUT OR DISP CONTROLLED SUBSTANCE U/$10,000",Theft,Closed,1000 SOUTH LIMESTONE STREET
ALCOHOL INTOXICATION IN A PUBLIC PLACE (1ST & 2ND OFFENSE),344 SOUTH MARTIN LUTHER KING BOULEVARD  ,Lexington,Kentucky,United States of America,Alcohol Intoxication,4/15/2016 5:55,Closed,344 SOUTH MARTIN LUTHER KING BOULEVARD,201609346,ALCOHOL INTOXICATION IN A PUBLIC PLACE (1ST & 2ND OFFENSE),Alcohol Intoxication,Closed,344 SOUTH MARTIN LUTHER KING BOULEVARD
TERRORISTIC THREATENING,1350 BULL LEA ROAD  ,Lexington,Kentucky,United States of America,Terroristic Threatening,4/15/2016 2:50,Closed CSA,1350 BULL LEA ROAD,CSA20160457,TERRORISTIC THREATENING,Terroristic Threatening,Closed CSA,1350 BULL LEA ROAD
HARASSMENT,1350 BULL LEA ROAD  ,Lexington,Kentucky,United States of America,Harassment,4/14/2016 19:26,Closed CSA,1350 BULL LEA ROAD,CSA20160456,HARASSMENT,Harassment,Closed CSA,1350 BULL LEA ROAD
ASSAULT,1350 BULL LEA ROAD  ,Lexington,Kentucky,United States of America,Assault,4/14/2016 17:30,Closed CSA,1350 BULL LEA ROAD,CSA20160455,ASSAULT,Assault,Closed CSA,1350 BULL LEA ROAD
HARASSMENT-PHYSICAL CONTACT-NO INJURY,1350 BULL LEA ROAD  ,Lexington,Kentucky,United States of America,Harassment,4/14/2016 12:50,Closed CSA,1350 BULL LEA ROAD,CSA20160454,HARASSMENT-PHYSICAL CONTACT-NO INJURY,Harassment,Closed CSA,1350 BULL LEA ROAD
TERRORISTIC THREATENING,1350 BULL LEA ROAD  ,Lexington,Kentucky,United States of America,Terroristic Threatening,4/14/2016 13:33,Closed CSA,1350 BULL LEA ROAD,CSA20160453,TERRORISTIC THREATENING,Terroristic Threatening,Closed CSA,1350 BULL LEA ROAD
DISORDERLY CONDUCT,1350 BULL LEA ROAD  ,Lexington,Kentucky,United States of America,Disorderly Conduct,4/14/2016 7:00,Closed CSA,1350 BULL LEA ROAD,CSA20160452,DISORDERLY CONDUCT,Disorderly Conduct,Closed CSA,1350 BULL LEA ROAD
HARASSMENT,1350 BULL LEA ROAD  ,Lexington,Kentucky,United States of America,Harassment,4/14/2016 17:00,Closed CSA,1350 BULL LEA ROAD,CSA20160451,HARASSMENT,Harassment,Closed CSA,1350 BULL LEA ROAD
HARASSMENT,1350 BULL LEA ROAD  ,Lexington,Kentucky,United States of America,Harassment,4/14/2016 13:15,Closed CSA,1350 BULL LEA ROAD,CSA20160458,HARASSMENT,Harassment,Closed CSA,1350 BULL LEA ROAD
"TBUT OR DISP CONTROLLED SUBSTANCE U/$10,000",1000 SOUTH LIMESTONE STREET  ,Lexington,Kentucky,United States of America,Theft,3/1/2016 13:00,Closed CSA,1000 SOUTH LIMESTONE STREET,20160818,"TBUT OR DISP CONTROLLED SUBSTANCE U/$10,000",Theft,Closed CSA,1000 SOUTH LIMESTONE STREET
ALCOHOL INTOXICATION,650 WOODLAND AVENUE  ,Lexington,Kentucky,United States of America,Alcohol Intoxication,4/15/2016 5:01,Closed CSA,650 WOODLAND AVENUE,CSA20160459,ALCOHOL INTOXICATION,Alcohol Intoxication,Closed CSA,650 WOODLAND AVENUE
"ALC INTOX IN A PUB PLACE 3RD OR > OFF IN 12 MONTHS; DISORDERLY CONDUCT, 2ND DEGREE; CRIMINAL TRESPASSING-3RD DEGREE",310 SOUTH LIMESTONE STREET  ,Lexington,Kentucky,United States of America,Alcohol Intoxication,4/15/2016 23:30,Cleared By Arrest,310 SOUTH LIMESTONE STREET,20160830,"ALC INTOX IN A PUB PLACE 3RD OR > OFF IN 12 MONTHS; DISORDERLY CONDUCT, 2ND DEGREE; CRIMINAL TRESPASSING-3RD DEGREE",Alcohol Intoxication,Cleared By Arrest,310 SOUTH LIMESTONE STREET
"ASSAULT, 4TH DEGREE (MINOR INJURY)",JERSEY STREET/PINE STREET PARKING LOT  ,Lexington,Kentucky,United States of America,Assault,4/16/2016 5:40,Open,JERSEY STREET/PINE STREET PARKING LOT,20160832,"ASSAULT, 4TH DEGREE (MINOR INJURY)",Assault,Open,JERSEY STREET/PINE STREET PARKING LOT
OPER MTR VEHICLE U/INFLU ALC/DRUGS/ETC.0.08 (AGG CIRCUM) 1ST OFF; CARELESS DRIVING,SOUTH LIMESTONE STREET/MAXWELL STREET  ,Lexington,Kentucky,United States of America,DUI,4/16/2016 9:30,Cleared By Arrest,SOUTH LIMESTONE STREET/MAXWELL STREET,20160833,OPER MTR VEHICLE U/INFLU ALC/DRUGS/ETC.0.08 (AGG CIRCUM) 1ST OFF; CARELESS DRIVING,DUI,Cleared By Arrest,SOUTH LIMESTONE STREET/MAXWELL STREET
HARASSMENT-PHYSICAL CONTACT- NO INJURY,410 ADMINISTRATION DRVIE  ,Lexington,Kentucky,United States of America,Harassment,4/15/2016 15:00,Closed,410 ADMINISTRATION DRVIE,20160821,HARASSMENT-PHYSICAL CONTACT- NO INJURY,Harassment,Closed,410 ADMINISTRATION DRVIE
TBUT OR DISP ALL OTHERS U/$500,440 HILLTOP AVENUE  ,Lexington,Kentucky,United States of America,Theft,4/18/2016 13:02,Open,440 HILLTOP AVENUE,20160822,TBUT OR DISP ALL OTHERS U/$500,Theft,Open,440 HILLTOP AVENUE
"ASSAULT, 4TH DEGREE (NO VISIBLE INJURY)",1350 BULL LEA ROAD  ,Lexington,Kentucky,United States of America,Assault,4/15/2016 15:30,Open,1350 BULL LEA ROAD,20160824,"ASSAULT, 4TH DEGREE (NO VISIBLE INJURY)",Assault,Open,1350 BULL LEA ROAD
TBUT OR DISP ALL OTHERS U/$500,800 HOSPITAL DRIVE  ,Lexington,Kentucky,United States of America,Theft,4/15/2016 11:00,Closed,800 HOSPITAL DRIVE,20160825,TBUT OR DISP ALL OTHERS U/$500,Theft,Closed,800 HOSPITAL DRIVE
TBUT OR DISP FROM BUILDING U/$500,401 HILLTOP AVENUE  ,Lexington,Kentucky,United States of America,Theft,4/8/2016 0:00,Closed,401 HILLTOP AVENUE,20160826,TBUT OR DISP FROM BUILDING U/$500,Theft,Closed,401 HILLTOP AVENUE
"TBUT OR DISP BICYCLES $500 OR MORE BUT U/$10,000",401 HILLTOP AVENUE  ,Lexington,Kentucky,United States of America,Theft,4/15/2016 20:00,Open,401 HILLTOP AVENUE,20160834,"TBUT OR DISP BICYCLES $500 OR MORE BUT U/$10,000",Theft,Open,401 HILLTOP AVENUE
THEFT OR PROP MISLAID OR DELIVER BY MISTAKE,720 WOODLAND AVENUE  ,Lexington,Kentucky,United States of America,Theft,4/19/2016 0:30,Closed,720 WOODLAND AVENUE,20160837,THEFT OR PROP MISLAID OR DELIVER BY MISTAKE,Theft,Closed,720 WOODLAND AVENUE
DRUG PARAPHERNALIA - BUY/POSSESS; POSS OF MARIJUANA; NO OPERATORS-MOPED LICENSE; RECKLESS DRIVING,SOUTH UPPER STREET/BOLIVAR STREET  ,Lexington,Kentucky,United States of America,Drug Violations,4/17/2016 6:21,Citation Issued,SOUTH UPPER STREET/BOLIVAR STREET,20160839,DRUG PARAPHERNALIA - BUY/POSSESS; POSS OF MARIJUANA; NO OPERATORS-MOPED LICENSE; RECKLESS DRIVING,Drug Violations,Citation Issued,SOUTH UPPER STREET/BOLIVAR STREET
OPER MTR VEHICLE U/INFLU ALC/DRUGS/ETC.0.08 (AGG CIRCUM) 1ST OFF; POSS OF OPEN ALC BEVERAGE CONT IN MOTOR VEH PROHIBITED; RECKLESS DRIVING,SOUTH UPPER STREET/BOLIVAR STREET  ,Lexington,Kentucky,United States of America,DUI,4/17/2016 7:38,Cleared By Arrest,SOUTH UPPER STREET/BOLIVAR STREET,20160842,OPER MTR VEHICLE U/INFLU ALC/DRUGS/ETC.0.08 (AGG CIRCUM) 1ST OFF; POSS OF OPEN ALC BEVERAGE CONT IN MOTOR VEH PROHIBITED; RECKLESS DRIVING,DUI,Cleared By Arrest,SOUTH UPPER STREET/BOLIVAR STREET
ASSAULT,1350 BULL LEA ROAD  ,Lexington,Kentucky,United States of America,Assault,4/16/2016 18:48,Closed CSA,1350 BULL LEA ROAD,CSA20160465,ASSAULT,Assault,Closed CSA,1350 BULL LEA ROAD
CRIMINAL MISCHIEF,1350 BULL LEA ROAD  ,Lexington,Kentucky,United States of America,Criminal Mischief,4/15/2016 22:10,Closed CSA,1350 BULL LEA ROAD,CSA20160464,CRIMINAL MISCHIEF,Criminal Mischief,Closed CSA,1350 BULL LEA ROAD
ASSAULT,1350 BULL LEA ROAD  ,Lexington,Kentucky,United States of America,Assault,4/14/2016 17:30,Unfounded,1350 BULL LEA ROAD,CSA20160463,ASSAULT,Assault,Unfounded,1350 BULL LEA ROAD
HARASSMENT,1350 BULL LEA ROAD  ,Lexington,Kentucky,United States of America,Harassment,4/15/2016 13:35,Closed CSA,1350 BULL LEA ROAD,CSA20160462,HARASSMENT,Harassment,Closed CSA,1350 BULL LEA ROAD
CRIMINAL MISCHIEF,1350 BULL LEA ROAD  ,Lexington,Kentucky,United States of America,Criminal Mischief,4/15/2016 13:02,Closed CSA,1350 BULL LEA ROAD,CSA20160461,CRIMINAL MISCHIEF,Criminal Mischief,Closed CSA,1350 BULL LEA ROAD
TERRORISTIC THREATENING,1350 BULL LEA ROAD  ,Lexington,Kentucky,United States of America,Terroristic Threatening,4/15/2016 12:05,Closed CSA,1350 BULL LEA ROAD,CSA20160460,TERRORISTIC THREATENING,Terroristic Threatening,Closed CSA,1350 BULL LEA ROAD
"ASSAULT, TERRORISTIC THREATENING",1350 BULL LEA ROAD  ,Lexington,Kentucky,United States of America,Assault,4/18/2016 0:05,Closed CSA,1350 BULL LEA ROAD,CSA20160466,"ASSAULT, TERRORISTIC THREATENING",Assault,Closed CSA,1350 BULL LEA ROAD
HARASSMENT-PHYSICAL CONTACT-NO INJURY,1350 BULL LEA ROAD  ,Lexington,Kentucky,United States of America,Harassment,4/17/2016 11:40,Closed CSA,1350 BULL LEA ROAD,CSA20160467,HARASSMENT-PHYSICAL CONTACT-NO INJURY,Harassment,Closed CSA,1350 BULL LEA ROAD
ASSAULT,1350 BULL LEA ROAD  ,Lexington,Kentucky,United States of America,Assault,4/17/2016 20:52,Closed CSA,1350 BULL LEA ROAD,CSA20160468,ASSAULT,Assault,Closed CSA,1350 BULL LEA ROAD
ASSAULT,1350 BULL LEA ROAD  ,Lexington,Kentucky,United States of America,Assault,4/17/2016 16:39,Closed CSA,1350 BULL LEA ROAD,CSA20160469,ASSAULT,Assault,Closed CSA,1350 BULL LEA ROAD
ASSAULT,1350 BULL LEA ROAD  ,Lexington,Kentucky,United States of America,Assault,4/17/2016 5:23,Closed CSA,1350 BULL LEA ROAD,CSA20160470,ASSAULT,Assault,Closed CSA,1350 BULL LEA ROAD
ASSAULT,1350 BULL LEA ROAD  ,Lexington,Kentucky,United States of America,Assault,4/17/2016 4:25,Closed CSA,1350 BULL LEA ROAD,CSA20160471,ASSAULT,Assault,Closed CSA,1350 BULL LEA ROAD
ASSAULT,1350 BULL LEA ROAD  ,Lexington,Kentucky,United States of America,Assault,4/16/2016 20:20,Closed CSA,1350 BULL LEA ROAD,CSA20160472,ASSAULT,Assault,Closed CSA,1350 BULL LEA ROAD
ASSAULT,SOUTH LIMESTONE STREET/MAXWELL STREET  ,Lexington,Kentucky,United States of America,Assault,4/17/2016 6:33,Closed,SOUTH LIMESTONE STREET/MAXWELL STREET,201609573,ASSAULT,Assault,Closed,SOUTH LIMESTONE STREET/MAXWELL STREET
"BURGLARY, 3RD DEGREE; CRIMINAL MISCHIEF, 3RD DEGREE",4321 EMMERT FARM LANE  ,Lexington,Kentucky,United States of America,Burglary,4/17/2016 21:00,Open,4321 EMMERT FARM LANE,20160846,"BURGLARY, 3RD DEGREE; CRIMINAL MISCHIEF, 3RD DEGREE",Burglary,Open,4321 EMMERT FARM LANE
TBUT OR DISP BICYCLES U/$500,650 SPORTS CENTER DRIVE  ,Lexington,Kentucky,United States of America,Theft,4/18/2016 10:00,Open,650 SPORTS CENTER DRIVE,20160847,TBUT OR DISP BICYCLES U/$500,Theft,Open,650 SPORTS CENTER DRIVE
TBUT OR DISP FROM BUILDING U/$500,401 HILLTOP AVENUE  ,Lexington,Kentucky,United States of America,Theft,4/18/2016 21:45,Closed,401 HILLTOP AVENUE,20160849,TBUT OR DISP FROM BUILDING U/$500,Theft,Closed,401 HILLTOP AVENUE
DRUG PARAPHERNALIA - BUY/POSSESS; POSS OF MARIJUANA,1540 UNIVERSITY DRIVE  ,Lexington,Kentucky,United States of America,Drug Violations,4/19/2016 2:00,Closed,1540 UNIVERSITY DRIVE,20160850,DRUG PARAPHERNALIA - BUY/POSSESS; POSS OF MARIJUANA,Drug Violations,Closed,1540 UNIVERSITY DRIVE
PERSON 18-20 POSS/PURCH/ATT PURCH/HAVE ANOTHER PURCH ALCOHOL X2,326 SOUTH MARTIN LUTHER KING BOULEVARD  ,Lexington,Kentucky,United States of America,Liquor Law Violation,4/15/2016 13:04,Closed CSA,326 SOUTH MARTIN LUTHER KING BOULEVARD,CSA20160473,PERSON 18-20 POSS/PURCH/ATT PURCH/HAVE ANOTHER PURCH ALCOHOL X2,Liquor Law Violation,Closed CSA,326 SOUTH MARTIN LUTHER KING BOULEVARD
ASSAULT,1350 BULL LEA ROAD  ,Lexington,Kentucky,United States of America,Assault,4/18/2016 15:56,Closed CSA,1350 BULL LEA ROAD,CSA20160474,ASSAULT,Assault,Closed CSA,1350 BULL LEA ROAD
ASSAULT X2,1350 BULL LEA ROAD  ,Lexington,Kentucky,United States of America,Assault,4/19/2016 0:15,Closed CSA,1350 BULL LEA ROAD,CSA20160475,ASSAULT X2,Assault,Closed CSA,1350 BULL LEA ROAD
TBUT OR DISP CONTENTS FROM VEHICLE UNDER $500,236 BOLIVAR STREET  ,Lexington,Kentucky,United States of America,Theft,4/17/2016 20:00,Closed,236 BOLIVAR STREET,20160848,TBUT OR DISP CONTENTS FROM VEHICLE UNDER $500,Theft,Closed,236 BOLIVAR STREET
ALCOHOL INTOXICATION,441 PENNSYLVANIA STREET  ,Lexington,Kentucky,United States of America,Alcohol Intoxication,1/24/2016 7:00,Closed CSA,441 PENNSYLVANIA STREET,CSA20160477,ALCOHOL INTOXICATION,Alcohol Intoxication,Closed CSA,441 PENNSYLVANIA STREET
DISORDERLY CONDUCT,125 AVENUE OF CHAMPIONS  ,Lexington,Kentucky,United States of America,Disorderly Conduct,1/23/2016 19:55,Closed CSA,125 AVENUE OF CHAMPIONS,CSA20160476,DISORDERLY CONDUCT,Disorderly Conduct,Closed CSA,125 AVENUE OF CHAMPIONS
"MURDER (JUSTIFIED PER LEXINGTON POLICE DEPARTMENT); ROBBERY, 1ST DEGREE",562 WOODLAND AVENUE  ,Lexington,Kentucky,United States of America,Murder,4/9/2016 6:10,Closed Lexington Police Report,562 WOODLAND AVENUE,2016057343,"MURDER (JUSTIFIED PER LEXINGTON POLICE DEPARTMENT); ROBBERY, 1ST DEGREE",13,Closed Lexington Police Report,562 WOODLAND AVENUE
ALC INTOX IN A PUB PLACE 3RD OR > OFF IN 12 MONTHS,310 SOUTH LIMESTONE STREET  ,Lexington,Kentucky,United States of America,Alcohol Intoxication,4/19/2016 18:22,Cleared By Arrest,310 SOUTH LIMESTONE STREET,20160858,ALC INTOX IN A PUB PLACE 3RD OR > OFF IN 12 MONTHS,Alcohol Intoxication,Cleared By Arrest,310 SOUTH LIMESTONE STREET
POSS OF MARIJUANA,720 WOODLAND AVENUE  ,Lexington,Kentucky,United States of America,Drug Violations,4/20/2016 1:32,Closed,720 WOODLAND AVENUE,20160859,POSS OF MARIJUANA,Drug Violations,Closed,720 WOODLAND AVENUE
"ASSAULT, 4TH DEGREE (NO VISIBLE INJURY)",750 WOODLAND AVENUE  ,Lexington,Kentucky,United States of America,Assault,4/20/2016 3:30,Unfounded,750 WOODLAND AVENUE,20160862,"ASSAULT, 4TH DEGREE (NO VISIBLE INJURY)",Assault,Unfounded,750 WOODLAND AVENUE
TBUT OR DISP FROM BUILDING U/$500,1000 SOUTH LIMESTONE STREET  ,Lexington,Kentucky,United States of America,Theft,4/19/2016 8:00,Open,1000 SOUTH LIMESTONE STREET,20160855,TBUT OR DISP FROM BUILDING U/$500,Theft,Open,1000 SOUTH LIMESTONE STREET
TERRORISTIC THREATENING; HARASSMENT,1350 BULL LEA ROAD  ,Lexington,Kentucky,United States of America,Terroristic Threatening,4/20/2016 0:15,Closed CSA,1350 BULL LEA ROAD,CSA20160478,TERRORISTIC THREATENING; HARASSMENT,Terroristic Threatening,Closed CSA,1350 BULL LEA ROAD
"TBUT OR DISP FROM BUILDING $500 OR MORE BUT U/$10,000",1000 SOUTH LIMESTONE STREET  ,Lexington,Kentucky,United States of America,Theft,4/18/2016 19:00,Citation Issued,1000 SOUTH LIMESTONE STREET,20160852,"TBUT OR DISP FROM BUILDING $500 OR MORE BUT U/$10,000",Theft,Citation Issued,1000 SOUTH LIMESTONE STREET
"TBUT OR DISP FROM BUILDING $500 OR MORE BUT U/$10,000",800 ROSE STREET  ,Lexington,Kentucky,United States of America,Theft,4/19/2016 3:00,Closed,800 ROSE STREET,20160853,"TBUT OR DISP FROM BUILDING $500 OR MORE BUT U/$10,000",Theft,Closed,800 ROSE STREET
DRUG PARAPHERNALIA - BUY/POSSESS; POSS OF MARIJUANA,BLUE COURTS NEAR COMPLEX DRIVE  ,Lexington,Kentucky,United States of America,Drug Violations,4/21/2016 4:41,Closed,BLUE COURTS NEAR COMPLEX DRIVE,20160869,DRUG PARAPHERNALIA - BUY/POSSESS; POSS OF MARIJUANA,Drug Violations,Closed,BLUE COURTS NEAR COMPLEX DRIVE
TBUT OR DISP ALL OTHERS U/$500; CRIMINAL MISCHIEF 3RD DEGREE,140 HUGUELET DRIVE  ,Lexington,Kentucky,United States of America,Theft,4/20/2016 17:00,Closed,140 HUGUELET DRIVE,20160870,TBUT OR DISP ALL OTHERS U/$500; CRIMINAL MISCHIEF 3RD DEGREE,Theft,Closed,140 HUGUELET DRIVE
TBUT OR DISP FROM BUILDING U/$500,650 WOODLAND AVENUE  ,Lexington,Kentucky,United States of America,Theft,4/17/2016 22:00,Closed,650 WOODLAND AVENUE,20160865,TBUT OR DISP FROM BUILDING U/$500,Theft,Closed,650 WOODLAND AVENUE
ALCOHOL INTOXICATION IN A PUBLIC PLACE (1ST & 2ND OFFENSE),310 SOUTH LIMESTONE STREET  ,Lexington,Kentucky,United States of America,Alcohol Intoxication,4/20/2016 22:12,Closed,310 SOUTH LIMESTONE STREET,20160866,ALCOHOL INTOXICATION IN A PUBLIC PLACE (1ST & 2ND OFFENSE),Alcohol Intoxication,Closed,310 SOUTH LIMESTONE STREET
SEXUAL ABUSE,1350 BULL LEA ROAD  ,Lexington,Kentucky,United States of America,Sex Offenses,4/20/2016 12:57,Unfounded,1350 BULL LEA ROAD,CSA20160479,SEXUAL ABUSE,Sex Offenses,Unfounded,1350 BULL LEA ROAD
