Category,Case Number,Crime Date and Time,Report Date,Location,Incident Description,Residential Occurance,Disposition,,,,,,,,,,,,,,
DUI,20161207,06/02/2016 - 11:00pm,6/3/2016,SOUTH LIMESTONE ST AT VIRGINIA AVENUE,"NO REGISTRATION PLATES, OPER MTR VEHICLE U/UNLFU ALC/DRUGS/ETC .08(AGG CIRCUM) 1ST OFF, POSS OF OPEN ALC BEVERAGE CONT IN MOTOR VEH PROHIBITED, AND POSS MARIJUANA",No,Cleared By Arrest,,,,,,,,,,,
Burglary,20161199,06/02/2016 - 3:30am,6/2/2016,349 SCOTT STREET,"BURGLARY, 3RD DEGREE",No,Closed,,,,,,,,,,,,,
Theft,20161201,06/01/2016 - 10:00pm,6/2/2016,310 SOUTH LIMESTONE,"TBUT OF DISP FROM BUILDING $500 OR MORE BUT U/$10,000",No,Closed,,,,,,,,,,,,,
Theft,20161202,05/26/2016 - 11:00am,6/2/2016,1000 SOUTH LIMESTONE ST,"TBUT OR DISP CONTROLLED SUBSTANCE U/$10,000",No,Closed,,,,,,,,,,,,,
Theft,20161204,06/02/2016 - 2:45pm,6/2/2016,110 TRANSCRIPT AVENUE,CRIMINAL MISCHIEF 2ND DEGREE,No,Closed,,,,,,,,,,,,,,
DUI,20161184,06/01/2016 - 2:40am,6/1/2016,SOUTH LIMESTONE ST/HUGUELET DRIVE,OPER MOTOR VEHICLE U/INFLU ALCOHOL < 21 YOA; NO MOTORCYCLE OPERATORS LICENSE; NO REGISTRATION PLATES; CARELESS DRIVING,No,Open,,,,,,,,,,,,,,
Theft,20161187,05/31/2016 - 1:20pm,6/1/2016,138 Leader Avenue,TBUT OR DISP FROM BUILDING U/$500,No,Unfounded,,,,,,,,,,,,,,
Criminal Mischief,20161189,06/01/2016 - 7:00am,6/1/2016,631 S. Limestone,CRIMINAL MISCHIEF 3RD DEGREE,No,Closed,,,,,,,,,,,,,,
Theft,20161191,06/01/2016 - 10:00am,6/1/2016,310 SOUTH LIMESTONE,"TBUT OR DISP FROM BUILDING $500 OR MORE BUT U/$10,000",No,Closed,,,,,,,,,,,,,
DUI,20161194,05/31/2016 - 10:40pm,6/1/2016,LEXINGTON ROAD NEAR MARY LYNN ROAD,DRIVING ON DUI SUSPENDED LICENSE- 1ST OFFENSE,No,Cleared By Arrest,,,,,,,,,,,,,,
Sex Offenses,20161200,05/31/2016 - 9:00am,6/1/2016,135 E MAXWELL ST,"SEXUAL ABUSE, 1ST DEGREE, VICTIM U/12 YEARS OF AGE",No,Open,,,,,,,,,,,,
Theft,20161176,05/31/2016 - 2:13am,5/31/2016,310 SOUTH LIMESTONE ST,"TBUT OR DISP FROM BUILDING $500 OR MORE BUT U/$10,000",No,Open,,,,,,,,,,,,,
Theft,20161181,05/30/2016 - 11:00am,5/31/2016,310 SOUTH LIMESTONE ST,TBUT OR DISP FROM BUILDING U/$500,No,Open,,,,,,,,,,,,,,
Criminal Mischief,20161182,05/31/2016 - 1:59pm,5/31/2016,251 SCOTT STREET (PARKING LOT ACROSS FROM TAYLOR EDUCATION BLDG),CRIMINAL MISCHIEF 3RD DEGREE,No,Open,,,,,,,,,,,,,,
Harassment,CSA20160645,05/31/2016 - 2:27am,5/31/2016,1350 BULL LEA ROAD,HARASSMENT,No,Closed - CSA,,,,,,,,,,,,,,
Harassment,CSA20160646,05/31/2016 - 8:23pm,5/31/2016,1350 BULL LEA ROAD,HARASSMENT X2,No,Closed - CSA,,,,,,,,,,,,,,
Criminal Trespass,20161183,05/31/2016 - 11:07pm,5/31/2016,349 SCOTT STREET,CRIMINAL TRESPASSING-2ND DEGREE,No,Open,,,,,,,,,,,,,,
DUI,20161170,05/30/2016 - 1:22am,5/30/2016,SOUTH LIMESTONE ST/VIRGINIA AVENUE,OPER MTR VEHICLE U/INFLU ALC/DRUGS/ETC..08(AGG CIRCUM) 1ST OFF; CARELESS DRIVING,No,Cleared By Arrest,,,,,,,,,,,,,,
All Other Offenses,20161173,05/30/2016 - 9:26am,5/30/2016,300 COMMONWEALTH DRIVE,"FRAUD USE OF CREDIT CARD $500 < $10,000; UNLAWFUL ACCESS TO COMPUTER, 2ND DEGREE",Yes,Open,,,,,,,,,,,,
Assault,CSA20160639,05/30/2016 - 9:59am,5/30/2016,1350 BULL LEA ROAD,ASSAULT,No,Closed - CSA,,,,,,,,,,,,,,
Harassment,CSA20160638,05/30/2016 - 5:14pm,5/30/2016,1350 BULL LEA ROAD,HARASSMENT,No,Closed - CSA,,,,,,,,,,,,,,
Harassment,CSA20160637,05/30/2016 - 5:29pm,5/30/2016,1350 BULL LEA ROAD,HARASSMENT-PHYSICAL CONTACT-NO INJURY X2,No,Closed - CSA,,,,,,,,,,,,,,
Harassment,CSA20160636,05/30/2016 - 5:55pm,5/30/2016,1350 BULL LEA ROAD,HARASSMENT,No,Closed - CSA,,,,,,,,,,,,,,
Harassment,CSA20160635,05/30/2016 - 5:30pm,5/30/2016,1350 BULL LEA ROAD,HARASSMENT-PHYSICAL CONTACT-NO INJURY,No,Closed - CSA,,,,,,,,,,,,,,
Assault,CSA20160647,05/30/2016 - 5:32pm,5/30/2016,1350 BULL LEA ROAD,ASSAULT,No,Closed - CSA,,,,,,,,,,,,,,
Drug Violations,20161169,05/29/2016 - 9:30pm,5/29/2016,COLLEGE VIEW AVENUE/ROSE STREET,POSS CONT SUB 1ST DEG 1ST OFF (COCAINE); DRUG PARAPHERNALIA-BUY/POSSESS; TAMPERING WITH PHYSICAL EVIDENCE,No,Cleared By Arrest,,,,,,,,,,,,,,
Assault,CSA20160642,05/29/2016 - 12:24pm,5/29/2016,1350 BULL LEA ROAD,ASSAULT X2,No,Closed - CSA,,,,,,,,,,,,,,
Harassment,CSA20160641,05/29/2016 - 2:55pm,5/29/2016,1350 BULL LEA ROAD,HARASSMENT,No,Closed - CSA,,,,,,,,,,,,,,
All Other Offenses,CSA20160640,05/29/2016 - 9:15pm,5/29/2016,1350 BULL LEA ROAD,MENACING,No,Closed - CSA,,,,,,,,,,,,,,
Assault,CSA20160626,05/29/2016 - 8:43am,5/29/2016,1350 BULL LEA ROAD,ASSAULT,No,Closed - CSA,,,,,,,,,,,,,,
Harassment,CSA20160625,05/29/2016 - 11:11am,5/29/2016,1350 BULL LEA ROAD,HARASSMENT,No,Closed - CSA,,,,,,,,,,,,,,
Assault,CSA20160624,05/29/2016 - 11:21am,5/29/2016,1350 BULL LEA ROAD,ASSAULT,No,Closed - CSA,,,,,,,,,,,,,,
Harassment,CSA20160623,05/29/2016 - 11:24am,5/29/2016,1350 BULL LEA ROAD,HARASSMENT,No,Closed - CSA,,,,,,,,,,,,,,
Harassment,CSA20160622,05/29/2016 - 11:30am,5/29/2016,1350 BULL LEA ROAD,HARASSMENT,No,Closed - CSA,,,,,,,,,,,,,,
Assault,CSA20160621,05/29/2016 - 1:02pm,5/29/2016,1350 BULL LEA ROAD,ASSAULT,No,Closed - CSA,,,,,,,,,,,,,,
Assault,CSA20160620,05/29/2016 - 12:25pm,5/29/2016,1350 BULL LEA ROAD,ASSAULT X2,No,Closed - CSA,,,,,,,,,,,,,,
Criminal Mischief,CSA20160643,05/26/2016 - 11:00pm,5/28/2016,SCOTT STREET (PPD POWERPLANT PARKING),CRIMINAL MISCHIEF,No,Closed - CSA,,,,,,,,,,,,,,
Assault,CSA20160633,05/28/2016 - 12:46pm,5/28/2016,1350 BULL LEA ROAD,ASSAULT; TERRORISTIC THREATENING,No,Closed - CSA,,,,,,,,,,,,,,
Harassment,CSA20160632,05/28/2016 - 2:20pm,5/28/2016,1350 BULL LEA ROAD,HARASSMENT,No,Closed - CSA,,,,,,,,,,,,,,
Assault,CSA20160631,05/28/2016 - 1:33pm,5/28/2016,1350 BULL LEA ROAD,ASSAULT,No,Closed - CSA,,,,,,,,,,,,,,
Criminal Mischief,CSA20160630,05/28/2016 - 12:40pm,5/28/2016,1350 BULL LEA ROAD,CRIMINAL MISCHIEF,No,Closed - CSA,,,,,,,,,,,,,,
Assault,CSA20160629,05/28/2016 - 12:35pm,5/28/2016,1350 BULL LEA ROAD,ASSAULT,No,Closed - CSA,,,,,,,,,,,,,,
Harassment,CSA20160628,05/27/2016 - 4:34pm,5/28/2016,1350 BULL LEA ROAD,HARASSMENT-PHYSICAL CONTACT-NO INJURY,No,Closed - CSA,,,,,,,,,,,,,,
Assault,CSA20160627,05/28/2016 - 5:06pm,5/28/2016,1350 BULL LEA ROAD,ASSAULT,No,Closed - CSA,,,,,,,,,,,,,,
Death Investigation,2016088080,05/28/2016 - 11:26am,5/28/2016,EAST MAXWELL STREET/NORTH MARTIN LUTHER KING BOULEVARD,DRUG PARAPHERNALIA - BUY/POSSESS; OPER MTR U/INFLUENCE ALC/SRUGS/ETC..08-1ST OFF,No,Cleared By Arrest,,,,,,,,,,,,,,
Alcohol Intoxication,2016088154,05/28/2016 - 2:12pm,5/28/2016,319 SOUTH LIMESTONE ST,ALC INTOX IN A PUB PLACE 3RD OR > OFF IN 12 MONTHS,No,Closed,,,,,,,,,,,,,,
All Other Offenses,20161190,05/27/2016 - 11:09pm,5/28/2016,SOUTH LIMESTONE ST BETWEEN CHRYSALIS AND HIGH STREET,IMPERSONATING A PEACE OFFICER,No,Open,,,,,,,,,,,,,,
DUI,20161155,05/27/2016 - 12:40am,5/27/2016,SOUTH LIMESTONE ST/VINE STREET,OPER MTR VEHICLE U/INFLU ALC/DRUGS/ETC..08 (AGG CIRCUM) 1ST OFF; CARELESS DRIVING,No,Cleared By Arrest,,,,,,,,,,,,,,
All Other Offenses,20161156,05/27/2016 - 10:45am,5/27/2016,SOUTH LIMESTONE ST/STATE STREET,"INDECENT EXPOSURE, 2ND DEGREE",No,Closed,,,,,,,,,,,,,
Theft,20161160,05/27/2016 - 4:00pm,5/27/2016,1095 VETERANS DRIVE,"TBUT OR DISP ALL OTHERS $500 OR MORE BUT U/$10,000",No,Open,,,,,,,,,,,,,
Assault,CSA20160634,05/27/2016 - 1:16pm,5/27/2016,1350 BULL LEA ROAD,ASSAULT,No,Closed - CSA,,,,,,,,,,,,,,
Alcohol Intoxication,2016087743,05/27/2016 - 8:35pm,5/27/2016,315 SOUTH LIMESTONE ST,ALCOHOL INTOX IN A PUBLIC PLACE (1ST & 2ND OFFENSE); FAILURE TO APPEAR,No,Cleared By Arrest,,,,,,,,,,,,,,
Theft,20161150,05/24/2016 - 7:15am,5/26/2016,800 ROSE STREET,TBUT OR DISP FROM BUILDING U/$500,No,Closed,,,,,,,,,,,,,,
Theft,20161151,05/24/2016 - 12:00pm,5/26/2016,680 ROSE STREET,"TBUT OR DISP FROM BUILDING $500 OR MORE BUT U/$10,000",No,Closed,,,,,,,,,,,,,
Theft,20161152,05/26/2016 - 1:00pm,5/26/2016,145 GRAHAM AVENUE,TBUT OR DISP BICYCLES U/$500,No,Open,,,,,,,,,,,,,,
Alcohol Intoxication,20161153,05/26/2016 - 7:43pm,5/26/2016,ROSE STREET/WASHINGTON AVENUE,ALCOHOL INTOXICATION,No,Cleared By Arrest,,,,,,,,,,,,,,
Harassment,CSA20160619,05/26/2016 - 11:49am,5/26/2016,1350 BULL LEA ROAD,HARASSMENT-PHYSICAL CONTACT-NO INJURY,No,Closed - CSA,,,,,,,,,,,,,,
Harassment,CSA20160617,05/26/2016 - 11:34am,5/26/2016,1350 BULL LEA ROAD,HARASSMENT-PHYSICAL CONTACT-NO INJURY,No,Closed - CSA,,,,,,,,,,,,,,
Assault,CSA20160616,05/26/2016 - 2:13pm,5/26/2016,1350 BULL LEA ROAD,ASSAULT,No,Closed - CSA,,,,,,,,,,,,,,
Assault,CSA20160615,05/26/2016 - 3:03pm,5/26/2016,1350 BULL LEA ROAD,ASSAULT X2,No,Closed - CSA,,,,,,,,,,,,,,
Assault,CSA20160614,05/26/2016 - 7:08pm,5/26/2016,1350 BULL LEA ROAD,ASSAULT X2; TERRORISTIC THREATENING,No,Closed - CSA,,,,,,,,,,,,,,
Harassment,CSA20160613,05/26/2016 - 7:22pm,5/26/2016,1350 BULL LEA ROAD,HARASSMENT-PHYSICAL CONTACT-NO INJURY,No,Closed - CSA,,,,,,,,,,,,,,
Terroristic Threatening,CSA20160612,05/26/2016 - 6:00pm,5/26/2016,1350 BULL LEA ROAD,TERRORISTIC THREATENING,No,Closed - CSA,,,,,,,,,,,,,,
Terroristic Threatening,CSA20160611,05/26/2016 - 8:03pm,5/26/2016,1350 BULL LEA ROAD,TERRORISTIC THREATENING; MENACING; INDECENT EXPOSURE,No,Closed - CSA,,,,,,,,,,,,,,
Sex Offenses,CSA20151302,09/01/2015 - 12:00am,5/26/2016,Residence Hall (Exact Location Unknown),SEXUAL MISCONDUCT,Yes,Closed - CSA,,,,,,,,,,,,,,
Disorderly Conduct,20161144,05/25/2016 - 9:00am,5/25/2016,334 LEXINGTON AVENUE,"DISORDERLY CONDUCT, 2ND DEGREE; CRIMINAL TRESPASSING-3RD DEGREE",No,Open,,,,,,,,,,,,,
Theft,20161147,05/25/2016 - 7:37pm,5/25/2016,1000 SOUTH LIMESTONE ST,TBUT OR DISP FROM BUIDLING U/$500,No,Closed,,,,,,,,,,,,,,
Terroristic Threatening,CSA20160610,05/25/2016 - 7:02pm,5/25/2016,1350 BULL LEA ROAD,TERRORISTIC THREATENING; HARASSMENT,No,Closed - CSA,,,,,,,,,,,,,,
Theft,2016086107,05/25/2016 - 11:15am,5/25/2016,1101 VETERANS DRIVE,THEFT OF MOTOR VEHICLE REGISTRATION PLATE,No,Open,,,,,,,,,,,,,,
Alcohol Intoxication,20161139,05/24/2016 - 1:16pm,5/24/2016,318 COLLEGE VIEW AVENUE,ALC INTOX IN A PUB PLACE 3RD OR > OFF IN 12 MONTHS; DRINK ALCOHOLIC BEV IN A PUBLIC PLACE (1ST & 2ND OFF),No,Cleared By Arrest,,,,,,,,,,,,,,
Criminal Trespass,20161138,05/24/2016 - 11:27am,5/24/2016,310 SOUTH LIMESTONE ST,CRIMINAL TRESPASSING-3RD DEGREE,No,Cleared By Arrest,,,,,,,,,,,,,,
Alcohol Intoxication,20161137,05/24/2016 - 10:50am,5/24/2016,310 SOUTH LIMESTONE ST,ALCOHOL INTOX IN A PUBLIC PLACE (1ST & 2ND OFFENSE),No,Open,,,,,,,,,,,,,,
Assault,CSA20160608,05/24/2016 - 11:01am,5/24/2016,1350 BULL LEA ROAD,ASSAULT,No,Closed - CSA,,,,,,,,,,,,,,
Harassment,CSA20160609,05/24/2016 - 11:08am,5/24/2016,1350 BULL LEA ROAD,HARASSMENT,No,Closed - CSA,,,,,,,,,,,,,,
Criminal Mischief,20161126,05/23/2016 - 4:36am,5/23/2016,591 SOUTH UPPER STREET,CRIMINAL MISCHIEF 3RD DEGREE,No,Open,,,,,,,,,,,,,,
Theft,20161124,05/23/2016 - 9:45am,5/23/2016,JERSEY STREET/PINE STREET PARKING LOT,TBUT OR DISP ALL OTHERS U/$500,No,Citation issued,,,,,,,,,,,,,,
Theft,20161129,05/20/2016 - 4:15pm,5/23/2016,597 SOUTH UPPER STREET,"TBUT OR DISP CONTENTS FROM VEHICLE $500 OR MORE BUT U/$10,000",No,Open,,,,,,,,,,,,,
Theft,20161130,05/16/2016 - 4:00pm,5/23/2016,830 SOUTH LIMESTONE ST,TBUT OR DISP FROM BUILDING U/$500,No,Open,,,,,,,,,,,,,,
Motor Vehicle Theft,20161133,05/22/2016 - 10:30pm,5/23/2016,720 WOODLAND AVENUE,"TBUT OR DISP AUTO - $500 OR MORE BUT U/$10,000; CRIMINAL MISCHIEF 3RD DEGREE",No,Open,,,,,,,,,,,,,
Assault,CSA20160607,05/23/2016 - 6:05pm,5/23/2016,1350 BULL LEA ROAD,ASSAULT; TERRORISTIC THREATENING,No,Closed - CSA,,,,,,,,,,,,,,
Harassment,CSA20160606,05/23/2016 - 11:17am,5/23/2016,1350 BULL LEA ROAD,HARASSMENT-PHYSICAL CONTACT-NO INJURY,No,Closed - CSA,,,,,,,,,,,,,,
Assault,CSA20160605,05/23/2016 - 12:08pm,5/23/2016,1350 BULL LEA ROAD,ASSAULT X2,No,Closed - CSA,,,,,,,,,,,,,,
Terroristic Threatening,CSA20160604,05/23/2016 - 4:20pm,5/23/2016,1350 BULL LEA ROAD,TERRORISTIC THREATENING,No,Closed - CSA,,,,,,,,,,,,,,
Harassment,CSA20160602,05/23/2016 - 5:45pm,5/23/2016,1350 BULL LEA ROAD,HARASSMENT,No,Closed - CSA,,,,,,,,,,,,,,
Harassment,CSA20160603,05/23/2016 - 5:45pm,5/23/2016,1350 BULL LEA ROAD,HARASSMENT-PHYSICAL CONTACT-NO INJURY,No,Closed - CSA,,,,,,,,,,,,,,
Drug Violations,20161116,05/22/2016 - 3:15am,5/22/2016,SOUTH LIMESTONE ST/WINSLOW STREET,POSS OF MARIJUANA,No,Citation issued,,,,,,,,,,,,,,
Burglary,20161115,05/21/2016 - 11:48pm,5/22/2016,349 SCOTT STREET,"BURGLARY, 1ST DEGREE; ARSON, 3RD DEGREE; CRIMINAL MISCHIEF, 1ST DEGREE;",No,Open,,,,,,,,,,,
Drug Violations,20161118,05/22/2016 - 5:00pm,5/22/2016,310 SOUTH LIMESTONE ST,POSS OF MARIJUANA; CRIMINAL TRESPASSING-3RD DEGREE,No,Cleared By Arrest,,,,,,,,,,,,,,
Alcohol Intoxication,2016119,05/22/2016 - 5:15pm,5/22/2016,310 SOUTH LIMESTONE ST,"DISORDERLY CONDUCT, 2ND DEGREE; ALC INTOX IN A PUB PLACE 3RD OR > OFF IN 12 MONTHS",No,Cleared By Arrest,,,,,,,,,,,,,
Assault,CSA20160599,05/22/2016 - 6:24pm,5/22/2016,1350 BULL LEA ROAD,ASSAULT,No,Closed - CSA,,,,,,,,,,,,,,
Criminal Mischief,CSA20160598,05/22/2016 - 3:30pm,5/22/2016,CSA20160598,CRIMINAL MISCHIEF,No,Closed - CSA,,,,,,,,,,,,,,
Harassment,CSA20160597,05/22/2016 - 1:43pm,5/22/2016,1350 BULL LEA ROAD,HARASSMENT-PHYSICAL CONTACT-NO INJURY X2,No,Closed - CSA,,,,,,,,,,,,,,
Sex Offenses,CSA20160600,05/22/2016 - 11:07am,5/22/2016,1350 BULL LEA ROAD,SEXUAL ABUSE,No,Unfounded,,,,,,,,,,,,,,
Sex Offenses,CSA20160601,05/21/2016 - 12:00am,5/22/2016,1350 BULL LEA ROAD,RAPE,No,Unfounded,,,,,,,,,,,,,,
Theft,20161111,05/19/2016 - 7:30am,5/21/2016,751 ROSE STREET,"TBUT OR DISP BICYCLES $500 OR MORE BUT U/$10,000; TBUT OR DISP ALL OTHERS U/$500",No,Open,,,,,,,,,,,,,
Disorderly Conduct,20161114,05/21/2016 - 10:35pm,5/21/2016,310 SOUTH LIMESTONE ST,"RESISTING ARREST; DISORDERLY CONDUCT, 2ND DEGREE; ALCOHOL INTOX IN A PUBLIC PLACE (1ST & 2ND OFFENSE)",No,Cleared By Arrest,,,,,,,,,,,,,
Assault,CSA20160596,05/21/2016 - 11:18am,5/21/2016,1350 BULL LEA ROAD,ASSAULT,No,Closed - CSA,,,,,,,,,,,,,,
Drug Violations,20161105,05/20/2016 - 1:02am,5/20/2016,EAST MAXWELL STREET/STONE STREET,DRUG PARAPHERNALIA-BUY/POSSESS; OPER MTR VEHICLE U/INFLUENCE ALC/DRUGS/ETC.0.08-1ST OFF; POSS OF OPEN ALC BEVERAGE CONT IN MOTOR VEH PROHIBITED; CARELESS DRIVING,No,Cleared By Arrest,,,,,,,,,,,,,,
Terroristic Threatening,CSA20160589,05/19/2016 - 5:30pm,5/20/2016,1350 BULL LEA ROAD,TERRORISTIC THREATENING,No,Closed - CSA,,,,,,,,,,,,,,
Theft,20161107,05/20/2016 - 7:30am,5/20/2016,360 HUGUELET DRIVE,"TBUT OR DISP BICYCLES $500 OR MORE BUT U/$10,000; TBUT OR DISP ALL OTHERS U/$500",No,Open,,,,,,,,,,,,,
Assault,CSA20160595,05/20/2016 - 8:03am,5/20/2016,1350 BULL LEA ROAD,ASSAULT,No,Closed - CSA,,,,,,,,,,,,,,
Assault,CSA20160594,05/20/2016 - 8:03am,5/20/2016,1350 BULL LEA ROAD,ASSAULT,No,Closed - CSA,,,,,,,,,,,,,,
Drug Violations,20161100,05/19/2016 - 2:20am,5/19/2016,SOUTH LIMESTONE ST/WINSLOW STREET,DRUG PARAPHERNALIA-BUY/POSESS; NO REGISTRATION PLATES; FAILURE TO DIM HEADLIGHTS,No,Citation issued,,,,,,,,,,,,,,
Terroristic Threatening,CSA20160582,05/17/2016 - 12:30pm,5/19/2016,1350 BULL LEA ROAD,TERRORISTIC THREATENING X2,No,Closed - CSA,,,,,,,,,,,,,,
Theft,20161102,05/19/2016 - 6:00am,5/19/2016,401 HILLTOP AVENUE,"CRIMINAL MISCHIEF 2ND DEGREE; TBUT OR DISP CONTENTS FROM VEHICLE $500 OR MORE BUT U/$10,000",No,Open,,,,,,,,,,,,,
Criminal Trespass,20161103,05/19/2016 - 4:08pm,5/19/2016,310 SOUTH LIMESTONE ST,CRIMINAL TRESPASS-3RD DEGREE,No,Cleared By Arrest,,,,,,,,,,,,,,
Alcohol Intoxication,20161104,05/19/2016 - 4:51pm,5/19/2016,310 SOUTH LIMESTONE ST,ALC INTOX IN A PUB PLACE 3RD OR > OFF IN 12 MONTHS,No,Cleared By Arrest,,,,,,,,,,,,,,
Harassment,CSA20160592,05/19/2016 - 7:28pm,5/19/2016,1350 BULL LEA ROAD,HARASSMENT-PHYSICAL CONTACT-NO INJURY; CRIMINAL MISCHIEF,No,Closed,,,,,,,,,,,,,,
Assault,CSA20160591,05/19/2016 - 4:38pm,5/19/2016,1350 BULL LEA ROAD,ASSAULT,No,Closed - CSA,,,,,,,,,,,,,,
Assault,CSA20160590,05/19/2016 - 6:17pm,5/19/2016,1350 BULL LEA ROAD,ASSAULT; CRIMINAL MISCHIEF,No,Closed - CSA,,,,,,,,,,,,,,
Criminal Mischief,CSA20160593,05/19/2016 - 7:28pm,5/19/2016,1350 BULL LEA ROAD,CRIMINAL MISCHIEF,No,Closed - CSA,,,,,,,,,,,,,,
Criminal Trespass,20161093,05/18/2016 - 3:12am,5/18/2016,1000 SOUTH LIMESTONE ST,CRIMINAL TRESPASSING-3RD DEGREE,No,Cleared By Arrest,,,,,,,,,,,,,,
Theft,20161094,05/17/2016 - 4:15pm,5/18/2016,597 SOUTH UPPER STREET,"TBUT OR DISP CONTENTS FROM VEHICLE $500 ORE MORE BUT U/$10,000; CRIMINAL MISCHIEF 2ND DEGREE",No,Closed,,,,,,,,,,,,,
Assault,CSA20160588,05/18/2016 - 8:15pm,5/18/2016,1350 BULL LEA ROAD,ASSAULT,No,Closed - CSA,,,,,,,,,,,,,,
Assault,CSA20160587,05/18/2016 - 7:13pm,5/18/2016,1350 BULL LEA ROAD,ASSAULT,No,Closed - CSA,,,,,,,,,,,,,,
Assault,CSA20160586,05/18/2016 - 6:10pm,5/18/2016,1350 BULL LEA ROAD,ASSAULT,No,Closed - CSA,,,,,,,,,,,,,,
Criminal Mischief,CSA20160585,05/18/2016 - 2:06pm,5/18/2016,1350 BULL LEA ROAD,CRIMINAL MISCHIEF,No,Closed - CSA,,,,,,,,,,,,,,
Harassment,CSA20160584,05/18/2016 - 2:15pm,5/18/2016,1350 BULL LEA ROAD,HARASSMENT-PHYSICAL CONTACT-NO INJURY,No,Closed - CSA,,,,,,,,,,,,,,
Criminal Mischief,CSA20160583,05/18/2016 - 11:38am,5/18/2016,1350 BULL LEA ROAD,CRIMINAL MISCHIEF,No,Closed - CSA,,,,,,,,,,,,,,
DUI,20161086,05/17/2016 - 2:25am,5/17/2016,SOUTH LIMESTONE ST/VIRGINIA AVENUE,OPER MTR VEHICLE U/INFLU ALC/DRUGS/ETC.0.08(AGG CIRCUM) 1ST OFF; CARELESS DRIVING,No,Cleared By Arrest,,,,,,,,,,,,,,
Assault,CSA20160573,05/16/2016 - 5:25pm,5/17/2016,1350 BULL LEA ROAD,ASSAULT,No,Closed - CSA,,,,,,,,,,,,,,
Terroristic Threatening,20161088,05/17/2016 - 10:00am,5/17/2016,310 SOUTH LIMESTONE ST,"TERRORISTIC THREATENING, 3RD DEGREE",No,Open,,,,,,,,,,,,,
All Other Offenses,20161092,05/17/2016 - 12:00am,5/17/2016,110 TRANSCRIPT AVENUE,UNAUTHORIZED USE OF MOTOR VEHICLE-1ST OFFENSE,No,Closed,,,,,,,,,,,,,,
Harassment,CSA20160581,05/17/2016 - 7:07pm,5/17/2016,1350 BULL LEA ROAD,HARASSMENT,No,Closed - CSA,,,,,,,,,,,,,,
Terroristic Threatening,CSA20160580,05/17/2016 - 7:47pm,5/17/2016,1350 BULL LEA ROAD,TERRORISTIC THREATENING; HARASSMENT,No,Closed - CSA,,,,,,,,,,,,,,
Harassment,CSA20160579,05/17/2016 - 3:16pm,5/17/2016,1350 BULL LEA ROAD,HARASSMENT,No,Closed - CSA,,,,,,,,,,,,,,
Harassment,CSA20160577,05/17/2016 - 9:15am,5/17/2016,1350 BULL LEA ROAD,HARASSMENT,No,Closed - CSA,,,,,,,,,,,,,,
Harassment,CSA20160576,05/17/2016 - 11:59pm,5/17/2016,1350 BULL LEA ROAD,HARASSMENT,No,Closed - CSA,,,,,,,,,,,,,,
Assault,CSA20160569,05/16/2016 - 12:52am,5/16/2016,310 SOUTH LIMESTONE ST,ASSAULT,No,Closed - CSA,,,,,,,,,,,,,,
Motor Vehicle Theft,20161082,05/15/2016 - 6:45pm,5/16/2016,110 TRANSCRIPT AVENUE,"TBUT OR DISP AUTO-$500 OR MORE BUT U/$10,000; TBUT OR DISP ALL OTHERS U/$500",No,Open,,,,,,,,,,,,,
All Other Offenses,CSA20160575,05/16/2016 - 5:56pm,5/16/2016,1350 BULL LEA ROAD,MENACING; CRIMINAL DAMAGE,No,Closed - CSA,,,,,,,,,,,,,,
Harassment,CSA20160574,05/16/2016 - 3:20pm,5/16/2016,1350 BULL LEA ROAD,HARASSMENT,No,Closed - CSA,,,,,,,,,,,,,,
Assault,20161085,05/16/2016 - 9:00pm,5/16/2016,1608 UNIVERSITY COURT,"ASSAULT, 4TH DEGREE (DOMESTIC VIOLENCE) NO VISIBLE INJURY; CRIMINAL MISCHIEF 3RD DEGREE",Yes,Unfounded,,,,,,,,,,,,,
Criminal Trespass,20161078,05/14/2016 - 11:47pm,5/15/2016,COLUMBIA AVENUE/WOODLAND AVENUE,"CRIMINAL TRESPASSING-3RD DEGREE; FLEEING OR EVADING POLICE, 2ND DEGREE (ON FOOT)",No,Cleared By Arrest,,,,,,,,,,,,,
Theft,20161071,05/13/2016 - 6:30pm,5/14/2016,800 ROSE STREET,THEFT OF PROP MISLAID OR DELIVER BY MISTAKE,No,Open,,,,,,,,,,,,,,
Criminal Trespass,20161073,05/14/2016 - 6:19am,5/14/2016,1000 SOUTH LIMESTONE ST,CRIMINAL TRESPASSING-3RD DEGREE,No,Cleared By Arrest,,,,,,,,,,,,,,
Theft,20161075,05/14/2016 - 4:35pm,5/14/2016,310 SOUTH LIMESTONE ST,TBUT OR DISP SHOPLIFTING U/$500,No,Closed,,,,,,,,,,,,,,
Theft,20161076,05/12/2016 - 3:18pm,5/14/2016,401 HILLTOP AVENUE,TBUT OR DISP BICYCLES U/$500; CRIMINAL MISCHIEF 3RD DEGREE,No,Closed,,,,,,,,,,,,,,
Harassment,CSA20160570,05/14/2016 - 9:40pm,5/14/2016,1350 BULL LEA ROAD,HARASSMENT,No,Closed - CSA,,,,,,,,,,,,,,
Criminal Mischief,CSA20160572,05/14/2016 - 11:15am,5/14/2016,1350 BULL LEA ROAD,CRIMINAL MISCHIEF,No,Closed - CSA,,,,,,,,,,,,,,
